學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
106,國立,普通科,普通科,25395,17,76,14,893,6,9,75,0.07,0.3,0.06,3.52,0.02,0.04,0.3
106,國立,專業群科,機械群,3201,11,79,49,48,2,0,7,0.34,2.47,1.53,1.5,0.06,0,0.22
106,國立,專業群科,動力機械群,996,2,69,33,9,1,0,3,0.2,6.93,3.31,0.9,0.1,0,0.3
106,國立,專業群科,電機與電子群,3672,14,94,18,45,8,4,13,0.38,2.56,0.49,1.23,0.22,0.11,0.35
106,國立,專業群科,化工群,836,0,11,8,6,1,1,1,0,1.32,0.96,0.72,0.12,0.12,0.12
106,國立,專業群科,土木與建築群,949,2,14,15,23,1,0,10,0.21,1.48,1.58,2.42,0.11,0,1.05
106,國立,專業群科,商業與管理群,5553,4,53,17,48,1,2,18,0.07,0.95,0.31,0.86,0.02,0.04,0.32
106,國立,專業群科,外語群,884,0,2,2,6,1,0,0,0,0.23,0.23,0.68,0.11,0,0
106,國立,專業群科,設計群,1065,5,9,12,15,0,0,1,0.47,0.85,1.13,1.41,0,0,0.09
106,國立,專業群科,農業群,1414,4,24,42,8,4,0,10,0.28,1.7,2.97,0.57,0.28,0,0.71
106,國立,專業群科,食品群,1097,6,19,22,11,2,1,8,0.55,1.73,2.01,1,0.18,0.09,0.73
106,國立,專業群科,家政群,1010,4,2,8,4,0,3,4,0.4,0.2,0.79,0.4,0,0.3,0.4
106,國立,專業群科,餐旅群,1139,2,17,8,6,1,0,0,0.18,1.49,0.7,0.53,0.09,0,0
106,國立,專業群科,水產群,211,1,10,5,0,0,0,2,0.47,4.74,2.37,0,0,0,0.95
106,國立,專業群科,海事群,252,1,14,7,1,1,0,4,0.4,5.56,2.78,0.4,0.4,0,1.59
106,國立,專業群科,藝術群,146,0,3,0,0,0,0,10,0,2.05,0,0,0,0,6.85
106,國立,專業群科,綜合,607,26,2,102,2,3,0,8,4.28,0.33,16.8,0.33,0.49,0,1.32
106,國立,綜合高中,學術群,3403,9,16,6,74,0,0,5,0.26,0.47,0.18,2.17,0,0,0.15
106,國立,綜合高中,機械群,176,0,5,0,3,0,0,0,0,2.84,0,1.7,0,0,0
106,國立,綜合高中,動力機械群,7,0,0,2,0,0,0,0,0,0,28.57,0,0,0,0
106,國立,綜合高中,電機與電子群,266,1,4,1,0,0,0,1,0.38,1.5,0.38,0,0,0,0.38
106,國立,綜合高中,化工群,52,2,2,0,1,0,0,0,3.85,3.85,0,1.92,0,0,0
106,國立,綜合高中,土木與建築群,123,0,0,0,0,0,1,0,0,0,0,0,0,0.81,0
106,國立,綜合高中,商業與管理群,724,3,8,7,12,1,0,2,0.41,1.1,0.97,1.66,0.14,0,0.28
106,國立,綜合高中,外語群,190,0,0,0,0,0,0,1,0,0,0,0,0,0,0.53
106,國立,綜合高中,設計群,191,0,1,1,1,0,0,1,0,0.52,0.52,0.52,0,0,0.52
106,國立,綜合高中,農業群,59,0,0,0,3,0,0,0,0,0,0,5.08,0,0,0
106,國立,綜合高中,食品群,163,0,2,1,0,0,0,4,0,1.23,0.61,0,0,0,2.45
106,國立,綜合高中,家政群,31,0,1,1,0,0,0,0,0,3.23,3.23,0,0,0,0
106,國立,綜合高中,餐旅群,403,0,7,5,1,1,2,10,0,1.74,1.24,0.25,0.25,0.5,2.48
106,國立,綜合高中,水產群,32,0,2,0,0,0,0,1,0,6.25,0,0,0,0,3.13
106,國立,綜合高中,海事群,17,0,2,0,0,0,0,0,0,11.76,0,0,0,0,0
106,國立,綜合高中,藝術群,9,0,0,0,0,0,0,1,0,0,0,0,0,0,11.11
106,國立,綜合高中,綜合,66,0,1,1,1,0,0,2,0,1.52,1.52,1.52,0,0,3.03
106,國立,實用技能學程,機械群,390,0,11,7,0,3,0,3,0,2.82,1.79,0,0.77,0,0.77
106,國立,實用技能學程,動力機械群,88,1,4,6,2,0,0,2,1.14,4.55,6.82,2.27,0,0,2.27
106,國立,實用技能學程,電機與電子群,375,0,15,10,4,1,0,4,0,4,2.67,1.07,0.27,0,1.07
106,國立,實用技能學程,土木與建築群,123,0,7,3,1,0,0,0,0,5.69,2.44,0.81,0,0,0
106,國立,實用技能學程,商業與管理群,425,1,12,10,3,1,0,1,0.24,2.82,2.35,0.71,0.24,0,0.24
106,國立,實用技能學程,設計群,132,1,1,5,0,0,0,0,0.76,0.76,3.79,0,0,0,0
106,國立,實用技能學程,農業群,143,1,1,3,1,0,0,0,0.7,0.7,2.1,0.7,0,0,0
106,國立,實用技能學程,食品群,193,0,3,5,1,1,0,0,0,1.55,2.59,0.52,0.52,0,0
106,國立,實用技能學程,餐旅群,370,0,5,12,1,2,0,1,0,1.35,3.24,0.27,0.54,0,0.27
106,國立,實用技能學程,水產群,40,0,3,0,0,0,0,0,0,7.5,0,0,0,0,0
106,國立,實用技能學程,海事群,56,4,6,1,0,0,0,1,7.14,10.71,1.79,0,0,0,1.79
106,國立,實用技能學程,美容造型群,162,0,0,9,0,2,0,1,0,0,5.56,0,1.23,0,0.62
106,國立,進修部,普通科,108,1,4,3,3,0,0,3,0.93,3.7,2.78,2.78,0,0,2.78
106,國立,進修部,機械群,422,5,34,2,1,1,0,1,1.18,8.06,0.47,0.24,0.24,0,0.24
106,國立,進修部,動力機械群,146,0,25,6,0,0,0,1,0,17.12,4.11,0,0,0,0.68
106,國立,進修部,電機與電子群,385,0,44,6,4,3,0,3,0,11.43,1.56,1.04,0.78,0,0.78
106,國立,進修部,化工群,25,0,0,1,0,0,0,1,0,0,4,0,0,0,4
106,國立,進修部,土木與建築群,24,0,0,2,0,0,0,0,0,0,8.33,0,0,0,0
106,國立,進修部,商業與管理群,880,2,21,23,7,6,1,31,0.23,2.39,2.61,0.8,0.68,0.11,3.52
106,國立,進修部,外語群,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,國立,進修部,設計群,189,0,6,3,4,0,0,0,0,3.17,1.59,2.12,0,0,0
106,國立,進修部,農業群,51,0,1,1,3,0,0,4,0,1.96,1.96,5.88,0,0,7.84
106,國立,進修部,食品群,189,0,11,3,2,2,1,10,0,5.82,1.59,1.06,1.06,0.53,5.29
106,國立,進修部,家政群,187,2,4,6,1,1,1,6,1.07,2.14,3.21,0.53,0.53,0.53,3.21
106,國立,進修部,餐旅群,191,0,4,3,0,0,0,6,0,2.09,1.57,0,0,0,3.14
106,縣市立,普通科,普通科,47494,11,136,46,1357,11,39,64,0.02,0.29,0.1,2.86,0.02,0.08,0.13
