"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
109,國立,專業群科,食品群,952,4,0,17,0,0,2,10,3,45,1,0,0,1,19,32,0,1,1,7,15.0210084033613,0.420168067226891,0,1.78571428571429,0,0,0.210084033613445,1.05042016806723,0.315126050420168,4.72689075630252,0.105042016806723,0,0,0.105042016806723,1.99579831932773,3.36134453781513,0,0.105042016806723,0.105042016806723,0.735294117647059
109,國立,專業群科,家政群,906,4,1,7,0,1,1,11,0,40,0,1,0,1,0,16,2,1,10,12,11.9205298013245,0.441501103752759,0.11037527593819,0.772626931567329,0,0.11037527593819,0.11037527593819,1.21412803532009,0,4.41501103752759,0,0.11037527593819,0,0.11037527593819,0,1.76600441501104,0.22075055187638,0.11037527593819,1.1037527593819,1.32450331125828
109,國立,專業群科,餐旅群,1093,3,0,7,3,0,1,6,2,62,0,0,0,0,4,52,0,1,0,12,13.9981701738335,0.274473924977127,0,0.640439158279963,0.274473924977127,0,0.0914913083257091,0.548947849954254,0.182982616651418,5.67246111619396,0,0,0,0,0.365965233302836,4.75754803293687,0,0.0914913083257091,0,1.09789569990851
109,國立,專業群科,水產群,149,3,0,1,0,0,2,2,0,6,0,0,0,1,0,0,0,0,0,2,11.4093959731544,2.01342281879195,0,0.671140939597315,0,0,1.34228187919463,1.34228187919463,0,4.02684563758389,0,0,0,0.671140939597315,0,0,0,0,0,1.34228187919463
109,國立,專業群科,海事群,249,4,0,10,1,0,6,3,27,3,0,0,0,1,0,21,0,0,1,5,32.9317269076305,1.60642570281124,0,4.01606425702811,0.401606425702811,0,2.40963855421687,1.20481927710843,10.8433734939759,1.20481927710843,0,0,0,0.401606425702811,0,8.43373493975904,0,0,0.401606425702811,2.00803212851406
109,國立,專業群科,藝術群,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.34351145038168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34351145038168,0
109,國立,專業群科,綜合,567,16,0,53,9,3,20,30,5,86,3,0,0,8,25,6,0,3,6,69,60.3174603174603,2.82186948853616,0,9.34744268077601,1.58730158730159,0.529100529100529,3.52733686067019,5.29100529100529,0.881834215167548,15.1675485008818,0.529100529100529,0,0,1.41093474426808,4.40917107583774,1.05820105820106,0,0.529100529100529,1.05820105820106,12.1693121693122
109,國立,綜合高中,學術群,2912,2,0,4,0,0,2,1,0,8,0,1,0,0,1,12,0,0,3,4,1.30494505494506,0.0686813186813187,0,0.137362637362637,0,0,0.0686813186813187,0.0343406593406593,0,0.274725274725275,0,0.0343406593406593,0,0,0.0343406593406593,0.412087912087912,0,0,0.103021978021978,0.137362637362637
109,國立,綜合高中,機械群,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2258064516129,2.1505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0752688172043
109,國立,綜合高中,動力機械群,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
