"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
110,國立,普通科,學術群,22305,12,0,12,3,0,6,15,2,78,0,0,0,2,8,128,0,0,7,9,1.26429051782112,0.0537995965030262,0,0.0537995965030262,0.0134498991257566,0,0.0268997982515131,0.0672494956287828,0.00896659941717104,0.34969737726967,0,0,0,0.00896659941717104,0.0358663976686842,0.573862362698946,0,0,0.0313830979600986,0.0403496973772697
110,國立,專業群科,機械群,2697,10,0,105,2,1,13,16,4,25,1,0,0,24,16,39,2,0,3,13,10.1594364108268,0.370782350760104,0,3.89321468298109,0.0741564701520208,0.0370782350760104,0.482017055988135,0.593251761216166,0.148312940304042,0.926955876900259,0.0370782350760104,0,0,0.889877641824249,0.593251761216166,1.4460511679644,0.0741564701520208,0,0.111234705228031,0.482017055988135
110,國立,專業群科,動力機械群,832,18,0,22,2,0,17,8,14,15,0,0,0,55,9,43,0,0,0,11,25.7211538461538,2.16346153846154,0,2.64423076923077,0.240384615384615,0,2.04326923076923,0.961538461538462,1.68269230769231,1.80288461538462,0,0,0,6.61057692307692,1.08173076923077,5.16826923076923,0,0,0,1.32211538461538
110,國立,專業群科,電機與電子群,3323,17,1,65,26,0,17,8,7,49,1,0,0,49,10,71,0,1,7,24,10.6229310863677,0.511585916340656,0.0300932891965092,1.9560637977731,0.782425519109239,0,0.511585916340656,0.240746313572073,0.210653024375564,1.47457117062895,0.0300932891965092,0,0,1.47457117062895,0.300932891965092,2.13662353295215,0,0.0300932891965092,0.210653024375564,0.72223894071622
110,國立,專業群科,化工群,673,1,0,4,0,0,0,1,0,2,0,0,0,3,1,5,0,0,0,2,2.82317979197623,0.148588410104012,0,0.594353640416048,0,0,0,0.148588410104012,0,0.297176820208024,0,0,0,0.445765230312036,0.148588410104012,0.742942050520059,0,0,0,0.297176820208024
110,國立,專業群科,土木與建築群,805,2,0,4,0,0,27,3,1,17,0,0,0,0,1,19,0,0,0,0,9.19254658385093,0.248447204968944,0,0.496894409937888,0,0,3.35403726708075,0.372670807453416,0.124223602484472,2.11180124223602,0,0,0,0,0.124223602484472,2.36024844720497,0,0,0,0
110,國立,專業群科,商業與管理群,4602,12,1,20,1,0,9,33,3,44,0,4,0,4,23,93,4,2,7,19,6.0625814863103,0.260756192959583,0.0217296827466319,0.434593654932638,0.0217296827466319,0,0.195567144719687,0.717079530638853,0.0651890482398957,0.956106040851804,0,0.0869187309865276,0,0.0869187309865276,0.499782703172534,2.02086049543677,0.0869187309865276,0.0434593654932638,0.152107779226423,0.412863972186006
110,國立,專業群科,外語群,780,0,0,0,0,1,0,2,0,4,0,0,0,0,1,7,0,1,0,4,2.56410256410256,0,0,0,0,0.128205128205128,0,0.256410256410256,0,0.512820512820513,0,0,0,0,0.128205128205128,0.897435897435897,0,0.128205128205128,0,0.512820512820513
110,國立,專業群科,設計群,1107,4,0,2,0,0,0,9,0,14,0,1,0,6,7,18,0,0,2,8,6.41373080397471,0.3613369467028,0,0.1806684733514,0,0,0,0.813008130081301,0,1.2646793134598,0,0.0903342366757001,0,0.5420054200542,0.632339656729901,1.6260162601626,0,0,0.1806684733514,0.722673893405601
110,國立,專業群科,農業群,1138,33,1,22,1,0,5,14,1,21,1,0,0,0,14,25,0,0,8,15,14.1476274165202,2.89982425307557,0.0878734622144112,1.93321616871705,0.0878734622144112,0,0.439367311072056,1.23022847100176,0.0878734622144112,1.84534270650264,0.0878734622144112,0,0,0,1.23022847100176,2.19683655536028,0,0,0.70298769771529,1.31810193321617
